irssi-script-bitlbee-tab-completion 0.5-2
iso-codes 3.57-1
itstool 2.0.2-1
iw 3.17-1
jack 0.124.1-3
jansson 2.7-1
jasper 1.900.1-13
java-access-bridge 1.26.2-4
java-atk-wrapper 0.30.4-3
java-environment-common 2-2
java-runtime-common 2-2
jdk7-openjdk 7.u79_2.5.5-1
jdk8-openjdk 8.u45-1
jfsutils 1.1.15-4
john 1.7.9-8
jre7-openjdk 7.u79_2.5.5-1
jre7-openjdk-headless 7.u79_2.5.5-1
jre8-openjdk 8.u45-1
jre8-openjdk-headless 8.u45-1
js17 17.0.0-1
js185 1.0.0-2
jshon 20131105-1
json-c 0.12-2
json-glib 1.0.2-1
jsoncpp 1.6.2-1
kbd 2.0.2-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 21-1
krb5 1.13.2-1
ladspa 1.13-5
lame 3.99.5-2
lcms 1.19-5
lcms2 2.7-1
ldb 1.1.20-1
ldns 1.6.17-2
leptonica 1.71-2
less 479-1
lesstif 0.95.2-6
leveldb 1.18-1
lftp 4.6.3a-1
libaio 0.3.110-1
libantlr3c 3.4-1
libao 1.2.0-1
libarchive 3.1.2-8
libass 0.12.3-1
libassuan 2.2.0-1
libasyncns 0.8-5
libatasmart 0.19-3
libatomic_ops 7.4.2-1
libavc1394 0.5.4-2
libbluray 0.8.1-1
libbonobo 2.32.1-4
libbsd 0.7.0-1
libcaca 0.99.beta18-2
libcacard 2.3.0-3
libcanberra 0.30-5
libcanberra-gstreamer 0.30-5
libcanberra-pulse 0.30-5
libcap 2.24-2
libcap-ng 0.7.4-1
libcdaudio 0.99.12-7
libcddb 1.3.2-4
libcdio 0.93-1
libcdio-paranoia 10.2+0.93+1-1
libcdr 0.1.1-2
libcroco 0.6.8-2
libcrystalhd-git 20130503-3
libcups 2.0.3-1
libdaemon 0.14-3
libdatrie 0.2.8-1
libdbus 1.8.18-1
libdc1394 2.2.3-1
libdca 0.0.5-4
libdmapsharing 2.9.30-1
libdrm 2.4.62-1
libdv 1.0.0-6
libdvbpsi 1:1.3.0-1
libdvdnav 5.0.2-1
libdvdread 5.0.1-1
libebml 1.3.1-1
libedit 20150325_3.1-1
libepoxy 1.2-2
libetonyek 0.1.3-1
libevdev 1.4.3-1
libevent 2.0.22-1
libexif 0.6.21-2
libexosip2 1:4.1.0-1
libffi 3.2.1-1
libfm-gtk-git 1.2.3.10.g7897241-1
libfontenc 1.1.3-1
libftdi-compat 0.20-1
libg15 1.2.7-1
libg15render 1.2-3
libgadu 1.12.1-2
libgcrypt 1.6.3-2
libgdata 0.17.1-1
libgdiplus 3.12-1
libgee 0.18.0-1
libgksu 2.0.12-6
libglade 2.6.4-5
libgme 0.6.0-3
libgnome-keyring 3.12.0-2
libgpg-error 1.19-1
libgphoto2 2.5.7-1
libgpod 0.8.3-4
libgtop 2.30.0-1
libgudev 230-1
libgusb 0.2.4-1
libgxps 0.2.2-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidl2 0.8.14-3
libidn 1.30-1
libiec61883 1.2.0-4
libieee1284 0.2.11-5
libimobiledevice 1.2.0-1
libinput 0.19.0-1
libirman 0.4.5-4
libiscsi 1.13.0-1
libjpeg-turbo 1.4.1-1
libkate 0.4.1-5
libksba 1.3.3-1
libldap 2.4.41-1
liblouis 2.6.3-1
liblqr 0.4.2-1
liblrdf 0.5.0-2
libmaa 1.3.2-2
libmad 0.15.1b-7
libmatekbd 1.10.0-1
libmatemixer 1.10.0-1
libmatroska 1.4.2-1
libmediaart 1.9.0-1
libmm-glib 1.4.8-2
libmms 0.6.4-1
libmng 2.0.3-1
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.3-1
libmpcdec 1.2.6-4
libmpeg2 0.5.1-5
libmspub 0.1.2-2
libmtp 1.1.9-1
libnet 1.1.6-2
libnice 0.1.10-1
libnids 1.24-3
libnl 3.2.25-1
libnm-glib 1.0.2-4
libnotify 0.7.6-1
liboauth 1.0.3-1
libodfgen 0.1.4-1
libofa 0.9.3-5
libogg 1.3.2-1
libomxil-bellagio 0.9.3-1
libosip2 1:4.1.0-1
libotr 4.1.0-1
libpaper 1.1.24-8
libpcap 1.6.2-1
libpciaccess 0.13.4-1
libpeas 1.14.0-1
libpipeline 1.4.0-1
libplist 1.12-2
libpng 1.6.16-1
libproxy 0.4.11-6
libpulse 6.0-2
libpurple 2.10.11-2
libquvi 0.9.4-4
libquvi-scripts 0.9.20131130-3
libraw1394 2.1.1-1
libreoffice-still 4.3.7-4
librevenge 0.0.2-1
librsvg 1:2.40.9-2
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.2.0-1
libsecret 0.18.2-1
libshout 1:2.3.1-2
libsidplay 1.36.59-6
